"Player","Team","Bye","POS","ESPN","ADP"
"Gunnar Helm","TEN","10","TE46","310","310"
"AJ Barner","SEA","8","TE47","311","311"
"Kayshon Boutte","NE","14","WR88","312","312"
"Olamide Zaccheaus","CHI","5","WR89","313","313"
"Ty Chandler","MIN","6","RB63","314","314"
"Grant Calcaterra","PHI","9","TE48","315","315"
"Zack Moss","","","RB64","316","316"
"LaJohntay Wester","BAL","7","WR90","317","317"
"Parker Romo","NE","14","K36","318","318"
"Ben DiNucci","ATL","5","QB48","319","319"
"Elijah Higgins","ARI","8","TE49","320","320"
"Nathan Rourke","","","QB49","321","321"
"Jacob Kibodi","","","RB65","322","322"
"Craig Reynolds","DET","8","RB66","323","323"
"Will Howard","PIT","5","QB50","324","324"
"Tommy Tremble","CAR","14","TE50","325","325"
"Daniel Bellinger","NYG","14","TE51","326","326"
"Will Dissly","LAC","12","TE52","327","327"
"Jalen Royals","KC","10","WR91","328","328"
"Matthew Wright","CAR","14","K37","329","329"
"Kalif Raymond","DET","8","WR92","330","330"
"Dalvin Cook","","","RB67","331","331"
"Kendrick Bourne","NE","14","WR93","332","332"
"Mac Jones","SF","14","QB51","333","333"
"Malik Willis","GB","5","QB52","334","334"
"Hendon Hooker","DET","8","QB53","335","335"
"Stetson Bennett IV","LAR","8","QB54","336","336"
"C.J. Ham","MIN","6","RB68","337","337"
"Sam Howell","MIN","6","QB55","338","338"
"Carson Steele","KC","10","RB69","339","339"
"Kadarius Toney","","","WR94","340","340"
"Marquez Valdes-Scantling","SEA","8","WR95","341","341"
"Eddy Pineiro","","","K38","342","342"
"Jake Browning","CIN","10","QB56","343","343"
"Zach Wilson","MIA","12","QB57","344","344"
"Max Duggan","","","QB58","345","345"
"Robert Woods","PIT","5","WR96","346","346"
"Quinn Ewers","MIA","12","QB59","347","347"
"Raheem Blackshear","CAR","14","RB70","348","348"
"Terrance Ferguson","LAR","8","TE53","349","349"
"Zane Gonzalez","","","K39","350","350"
"Mitchell Trubisky","BUF","7","QB60","351","351"
"Andy Dalton","CAR","14","QB61","352","352"
"Curtis Samuel","BUF","7","WR97","353","353"
"Julio Jones","","","WR98","354","354"
"Cooper Rush","BAL","7","QB62","355","355"
"Lil'Jordan Humphrey","NYG","14","WR99","356","356"
"Tez Johnson","TB","9","WR100","357","357"
"David Moore","CAR","14","WR101","358","358"
"Tai Felton","MIN","6","WR102","359","359"
"John Ross","","","WR103","360","360"
"Randy Bullock","","","K40","361","361"
"","","","1","362","0"
"Jermaine Jackson","","","WR104","363","362"
"Julius Chestnut","TEN","10","RB71","364","363"
"Kyle Allen","DET","8","QB63","365","364"
"Jarrett Stidham","DEN","12","QB64","366","365"
"Drew Lock","SEA","8","QB65","367","366"
"Michael Badgley","","","K41","368","367"
"Mecole Hardman Jr.","GB","5","WR105","369","368"
"Teddy Bridgewater","TB","9","QB66","370","369"
"Dameon Pierce","HOU","6","RB72","371","370"
"Dallin Holker","","","TE54","372","371"
"Trey Lance","LAC","12","QB67","373","372"
"Derius Davis","LAC","12","WR106","374","373"
"Robbie Chosen","SF","14","WR107","375","374"
"Demarcus Robinson","SF","14","WR108","376","375"
"Spencer Shrader","IND","11","K42","377","376"
"Ainias Smith","PHI","9","WR109","378","377"
"Patrick Ricard","BAL","7","RB73","379","378"
"Audric Estime","DEN","12","RB74","380","379"
"","","","2","381","0"
"D.J. Montgomery","IND","11","WR110","382","380"
"Darrell Henderson Jr.","","","RB75","383","381"
"Oronde Gadsden II","LAC","12","TE55","384","382"
"Brett Maher","","","K43","385","383"
"John Bates","WAS","12","TE56","386","384"
"Jeremy Ruckert","NYJ","9","TE57","387","385"
"Devontez Walker","BAL","7","WR111","388","386"
"Tanner Brown","","","K44","389","387"
"Dontayvion Wicks","GB","5","WR112","390","388"
"Tyler Conklin","LAC","12","TE58","391","389"
"Lucky Jackson","MIN","6","WR113","392","390"
"Leonard Fournette","","","RB76","393","391"
"Greg Joseph","","","K45","394","392"
"Tyler Lockett","TEN","10","WR114","395","393"
"Antonio Gibson","NE","14","RB77","396","394"
"Donovan Peoples-Jones","NO","11","WR115","397","395"
"Adam Trautman","DEN","12","TE59","398","396"
"Deuce Vaughn","DAL","10","RB78","399","397"
"Nikko Remigio","KC","10","WR116","400","398"
"Frank Gore Jr.","BUF","7","RB79","401","399"
"Mo Alie-Cox","IND","11","TE60","402","400"
"Tyson Bagent","CHI","5","QB68","403","401"
"Noah Fant","CIN","10","TE61","404","402"
"Charlie Jones","CIN","10","WR117","405","403"
"Matt Prater","","","K46","406","404"
"Gavin Bartholomew","MIN","6","TE62","407","405"
"Anthony Brown Jr.","","","QB69","408","406"
"D.J. Williams","","","RB80","409","407"
"Arian Smith","NYJ","9","WR118","410","408"
"Marcus Mariota","WAS","12","QB70","411","409"
"Ihmir Smith-Marsette","NYG","14","WR119","412","410"
"Boston Scott","","","RB81","413","411"
"Carson Wentz","","","QB71","414","412"
"Tylan Wallace","BAL","7","WR120","415","413"
"Tommy Mellott","LV","8","QB72","416","414"
"Savion Williams","GB","5","WR121","417","415"
"Skyy Moore","KC","10","WR122","418","416"
"Matt Ammendola","","","K47","420","417"
"Scotty Miller","PIT","5","WR123","421","418"
"Kyle Trask","TB","9","QB73","422","419"
"John Metchie III","PHI","9","WR124","423","420"
"Brandon Allen","TEN","10","QB74","424","421"
"Eric Gray","NYG","14","RB82","425","422"
"Donovan Edwards","NYJ","9","RB83","426","423"
"Tyrod Taylor","NYJ","9","QB75","427","424"
"Cade York","","","K48","428","425"
"Spencer Rattler","NO","11","QB76","429","426"
"Devin Duvernay","CHI","5","WR125","430","427"
"Luke Farrell","SF","14","TE63","431","428"
"Riley Leonard","IND","11","QB77","432","429"
"Jha'Quan Jackson","TEN","10","WR126","433","430"
"Jamari Thrash","CLE","9","WR127","434","431"
"George Holani","SEA","8","RB84","435","432"
"Brayden Narveson","","","K49","436","433"
"Ryan Tannehill","","","QB78","437","434"
"Jaylin Lane","WAS","12","WR128","438","435"
"Johnny Wilson","PHI","9","WR129","439","436"
"Jalen Reagor","LAC","12","WR130","440","437"
"Damien Martinez","SEA","8","RB85","441","438"
"Robbie Ouzts","SEA","8","TE64","442","439"
"Justin Watson","HOU","6","WR131","443","440"
"Gunner Olszewski","NYG","14","WR132","444","441"
"Keith Kirkwood","BAL","7","WR133","445","442"
"Dylan Laube","LV","8","RB86","446","443"
"Cordarrelle Patterson","","","RB87","447","444"
"Jonathan Mingo","DAL","10","WR134","448","445"
"Louis Rees-Zammit","","","RB88","449","446"
"Phillip Dorsett II","LV","8","WR135","450","447"
"SaRodorick Thompson Jr.","","","RB89","451","448"
"Aidan O'Connell","LV","8","QB79","452","449"
"Bailey Zappe","KC","10","QB80","453","450"
"Sterling Shepard","TB","9","WR136","454","451"
"Jaren Hall","","","QB81","455","452"
"KhaDarel Hodge","ATL","5","WR137","456","453"
"Jermaine Burton","CIN","10","WR138","457","454"
"Riley Patterson","","","K50","458","455"
"Michael Burton","DEN","12","RB90","459","456"
"Trent Taylor","SF","14","WR139","460","457"
"Travis Homer","CHI","5","RB91","461","458"
"Case Keenum","CHI","5","QB82","462","459"
"Davis Allen","LAR","8","TE65","463","460"
"Collin Johnson","LV","8","WR140","464","461"
"Drew Sample","CIN","10","TE66","465","462"
"Cam Akers","NO","11","RB92","466","463"
"Jared Wiley","KC","10","TE67","467","464"
"Chimere Dike","TEN","10","WR141","468","465"
"Charlie Kolar","BAL","7","TE68","469","466"
"Charlie Woerner","ATL","5","TE69","470","467"
"Zay Jones","ARI","8","WR142","471","468"
"Tim Jones","MIN","6","WR143","472","469"
"KJ Hamler","BUF","7","WR144","473","470"
"LeQuint Allen Jr.","JAC","8","RB93","474","471"
"Patrick Taylor Jr.","SF","14","RB94","475","472"
"Jared Wayne","","","WR145","476","473"
"Michael Gallup","WAS","12","WR146","477","474"
"Kylen Granson","PHI","9","TE70","478","475"
"Avery Williams","PHI","9","RB95","479","476"
"Brittain Brown","CHI","5","RB96","480","477"
"Ja'Lynn Polk","NE","14","WR147","481","478"
"Austin Seibert","","","K51","482","479"
"Kyle McCord","PHI","9","QB83","483","480"
"Xavier Gipson","NYJ","9","WR148","484","481"
"Tyquan Thornton","KC","10","WR149","485","482"
"Henry Pearson","","","RB97","486","483"
"Tyreik McAllister","","","RB98","487","484"
"Malachi Corley","NYJ","9","WR150","488","485"
"Brady Russell","SEA","8","TE71","489","486"
"Tyler Scott","CHI","5","WR151","490","487"
"","","","3","491","0"
"Israel Abanikanda","GB","5","RB99","492","488"
"Terrace Marshall Jr.","PHI","9","WR152","493","489"
"Tyler Goodson","IND","11","RB100","494","490"
"Tyler Johnson","NYJ","9","WR153","495","491"
"Laquon Treadwell","IND","11","WR154","496","492"
"Rasheen Ali","BAL","7","RB101","497","493"
"Jason Cabinda","","","LB1","498","494"
"Jeff Wilson Jr.","SF","14","RB102","499","495"
"Deon Jackson","DET","8","RB103","500","496"
""
""
